Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
278,0,0.0576669,0.0352123,0.0902106,13.0907,-0.0423846,-5.21535
279,0,0.0567599,0.0355261,0.0906373,13.0452,-0.0397636,-5.19969
280,0,0.0562448,0.0364876,0.0911008,13.2944,-0.390059,-5.40338
281,0,0.0571664,0.0370507,0.0855892,13.2299,-0.00997337,-5.18406
282,0,0.0537249,0.0358179,0.0861875,13.21,-0.0538181,-5.26949
283,0,0.0652569,0.0360926,0.0826403,12.9539,-0.26434,-5.2922
284,0,0.0528055,0.0368364,0.0808773,12.8428,0.170342,-5.16413
285,0,0.0585838,0.0374553,0.0855637,13.0531,-0.318485,-5.24372
286,0,0.0544348,0.0365682,0.0889965,13.2751,-0.345662,-5.20036
287,0,0.0568427,0.0380651,0.0890278,13.2044,-0.400171,-5.12708
288,0,0.0572043,0.0367325,0.0854371,12.8394,-0.138892,-5.13748
289,0,0.0587033,0.037273,0.084858,12.8363,-0.133541,-5.13097
290,0,0.0591813,0.0377577,0.0862398,13.0079,-0.200974,-5.11533
291,0,0.0579839,0.0369501,0.087559,13.0852,-0.322612,-5.20147
292,0,0.0576627,0.0367031,0.0870925,12.9695,-0.302604,-5.15185
293,0,0.0586209,0.0364155,0.0861218,12.9478,-0.246918,-5.20177
294,0,0.0586158,0.0373507,0.0859933,13.0513,-0.346789,-5.2121
295,0,-0.0845334,-0.125519,-3.03722,12.8596,-0.49618,3.85594
296,0,-0.0876285,-0.12363,-3.03514,12.9438,-0.767143,3.84958
297,0,-0.0857643,-0.124224,-3.03396,12.6926,-0.652151,3.95917
298,0,0.199001,0.201942,0.127064,12.4238,-3.56596,4.4724
299,0,0.19799,0.200852,0.127148,12.4088,-3.52041,4.50794
300,0,0.198283,0.201393,0.126651,12.4126,-3.52656,4.50669
301,0,0.197552,0.201014,0.127319,12.4334,-3.54548,4.56852
302,0,0.198033,0.200655,0.126463,12.4002,-3.49423,4.52154
303,0,0.197956,0.201182,0.127111,12.4418,-3.52406,4.50923
304,0,0.198931,0.201392,0.126769,12.3716,-3.54255,4.49501
305,0,0.197902,0.200968,0.127164,12.442,-3.52382,4.52241
306,0,0.197356,0.201017,0.12715,12.4383,-3.46962,4.52387
307,0,0.197874,0.200935,0.126714,12.4196,-3.49998,4.50425
308,0,0.198448,0.201696,0.126866,12.4456,-3.54911,4.4935
309,0,0.198593,0.20011,0.126652,12.3656,-3.52913,4.47853
310,0,0.197802,0.201908,0.126938,12.4334,-3.47101,4.52671
311,0,0.197904,0.201456,0.126729,12.3981,-3.52756,4.54247
312,0,0.198014,0.200733,0.126645,12.4319,-3.49401,4.52512
313,0,0.19826,0.201307,0.126971,12.432,-3.5214,4.49313
314,0,0.198606,0.200127,0.12671,12.3934,-3.5098,4.48709
315,0,0.197522,0.201498,0.127252,12.4508,-3.49949,4.55305
316,0,0.197832,0.201585,0.126952,12.4012,-3.49487,4.56821
317,0,0.198161,0.2013,0.126988,12.4294,-3.52393,4.49576
318,0,0.198119,0.200548,0.127296,12.4444,-3.52219,4.5008
319,0,0.198385,0.200635,0.127018,12.4169,-3.53059,4.48828
320,0,0.19808,0.201527,0.127121,12.4413,-3.52926,4.52128
321,0,0.19743,0.200917,0.12672,12.4151,-3.4915,4.55232
322,0,0.197979,0.201311,0.127102,12.4543,-3.52187,4.55466
323,0,0.198421,0.201233,0.126948,12.4206,-3.52435,4.51879
324,0,0.197807,0.200801,0.127304,12.4292,-3.55274,4.52635
325,0,0.197933,0.200888,0.127292,12.41,-3.54664,4.57733
326,0,0.198039,0.200916,0.1267,12.4142,-3.55678,4.52191
327,0,0.197924,0.201315,0.127246,12.4568,-3.5202,4.53769
328,0,0.198198,0.200588,0.126951,12.4217,-3.50701,4.52475
329,0,0.198204,0.200912,0.127346,12.4094,-3.57274,4.52646
330,0,0.197859,0.20099,0.126854,12.4172,-3.53322,4.55477
331,0,0.198373,0.201059,0.126741,12.4153,-3.56394,4.46568
332,0,0.198302,0.201051,0.127288,12.4249,-3.54065,4.54043
333,0,0.198255,0.200889,0.126602,12.3966,-3.51356,4.48638
334,0,0.197868,0.201107,0.127155,12.4028,-3.5533,4.52615
335,0,0.198534,0.201322,0.126938,12.4157,-3.55352,4.50905
336,0,0.197948,0.200259,0.126794,12.4189,-3.53075,4.52115
337,0,0.197628,0.20068,0.127059,12.4456,-3.52598,4.53699
338,0,0.197421,0.199617,0.127112,12.418,-3.48905,4.52994
339,0,0.198087,0.202189,0.127029,12.4178,-3.53241,4.50099
340,0,0.198613,0.200662,0.12664,12.3856,-3.49449,4.52354
341,0,0.19802,0.20087,0.127035,12.4561,-3.51041,4.52856
342,0,0.197402,0.201707,0.127077,12.4161,-3.52619,4.55954
343,0,0.198214,0.201153,0.127135,12.4619,-3.48889,4.51577
344,0,0.198279,0.200658,0.126951,12.4395,-3.57558,4.49995
345,0,0.198397,0.201133,0.126409,12.3739,-3.53366,4.4714
346,0,0.197805,0.200315,0.127223,12.4604,-3.51328,4.55365
347,0,0.198089,0.200404,0.127043,12.4536,-3.55409,4.55251
348,0,0.198493,0.200494,0.126719,12.4544,-3.58399,4.53014
349,0,0.20117,0.19496,0.126819,12.5231,-3.85933,4.49434
350,0,0.207037,0.183936,0.127805,12.6666,-4.36278,5.6759
351,0,0.209971,0.173449,0.130292,13.0958,-4.8754,10.8289
352,0,0.213089,0.163007,0.129421,13.3329,-5.50974,21.4913
