Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
218,2.37341,-0.11723,0.128232,1.97167,15.8603,444.738,108,64,64,80
219,2.37485,-0.105701,0.12817,1.51791,15.4459,445.164,108,64,64,80
220,2.37255,-0.103805,0.128306,1.72474,14.99,445.738,108,64,64,80
221,2.36871,-0.111494,0.129463,2.49915,14.3969,446.86,104,64,64,80
222,2.37281,-0.114035,0.131289,3.33817,14.2245,448.0,104,64,64,80
223,2.37261,-0.11478,0.12849,3.56008,13.7422,448.919,104,64,64,80
224,2.37805,-0.115997,0.132854,4.20897,13.3591,449.836,104,64,64,80
225,2.37601,-0.115823,0.130602,4.49905,12.765,450.578,104,64,64,80
226,2.37067,-0.108799,0.129859,4.47999,12.2602,451.019,104,64,64,80
227,2.36642,-0.109862,0.127338,4.83657,11.9606,451.846,104,64,64,80
228,2.36759,-0.113664,0.128331,5.48976,11.7454,452.543,104,64,64,80
229,2.3691,-0.115159,0.132451,6.03174,11.4786,453.013,104,64,64,80
230,2.37356,-0.112901,0.131226,6.35644,11.3748,453.468,104,64,64,80
231,2.37574,-0.11201,0.131281,6.83993,11.0885,453.737,100,64,64,80
232,2.37423,-0.10797,0.131714,7.01836,10.7719,453.818,100,64,64,80
233,2.37546,-0.106563,0.131655,7.30167,10.5798,454.386,100,64,64,80
234,2.37239,-0.108293,0.132931,7.62517,10.3132,454.813,100,64,64,80
235,2.37078,-0.113088,0.131424,8.01801,10.0281,455.428,100,64,64,80
236,2.36874,-0.120155,0.131594,8.57791,9.7307,456.002,100,64,64,80
237,2.37422,-0.122208,0.131065,9.09169,9.71091,456.606,100,64,64,80
238,2.37337,-0.119957,0.13286,9.28767,9.6251,456.88,100,64,64,80
239,2.37005,-0.118972,0.133204,9.51312,9.4374,457.256,100,64,64,80
240,2.37263,-0.116729,0.133095,9.9666,9.4941,457.721,100,64,64,80
241,2.37232,-0.107889,0.131843,9.99012,9.50445,457.89,96,64,64,80
